flight_id,airline_name,origin_airport,year,month,day_of_month,time_in_air,time_on_flight,departure_delay,arrival_delay,arrival_delay_caused_by_carrier,arrival_delay_caused_by_others,arrival_delay_category_carrier,arrival_delay_category_weather,arrival_delay_category_nas,arrival_delay_category_security,arrival_delay_category_aircraft
6543764,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,45,64,11,10,0,0,0,0,0,0,0
6544163,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,66,79,7,6,0,0,0,0,0,0,0
6544164,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,46,60,12,7,0,0,0,0,0,0,0
6544561,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,48,61,9,0,0,0,0,0,0,0,0
6545161,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,46,59,82,76,76,0,3,0,0,0,73
6545670,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,68,88,24,27,24,3,24,0,3,0,0
6545744,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,46,58,15,8,0,0,0,0,0,0,0
6545906,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,55,65,65,55,55,0,10,0,0,0,45
6546129,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,50,65,32,22,22,0,15,0,0,0,7
6546692,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,43,55,63,58,58,0,1,0,0,0,57
6547661,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,48,101,7,33,7,26,3,0,26,0,4
6547838,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,44,54,28,22,22,0,2,0,0,0,20
6548008,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,48,61,7,-7,0,0,0,0,0,0,0
6548148,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,45,56,84,75,75,0,1,0,0,0,74
6548578,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,58,69,174,163,163,0,0,0,0,0,163
6548638,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,49,68,21,19,19,0,1,0,0,0,18
6548841,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,44,60,30,25,25,0,2,0,0,0,23
6548842,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,52,60,21,6,0,0,0,0,0,0,0
6548924,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,40,54,88,77,77,0,0,0,0,0,77
6549018,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,59,76,54,55,54,1,23,0,1,0,31
6549204,Southwest Airlines Co.,Bob Hope Airport,2021,1,1,50,72,29,31,29,2,3,0,2,0,26
6550434,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,48,60,8,-7,0,0,0,0,0,0,0
6550551,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,68,82,13,15,13,2,9,0,2,0,4
6550944,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,50,71,10,6,0,0,0,0,0,0,0
6551171,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,46,58,14,7,0,0,0,0,0,0,0
6551341,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,68,109,17,41,17,24,11,0,24,0,6
6551486,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,45,58,10,3,0,0,0,0,0,0,0
6551701,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,51,70,9,4,0,0,0,0,0,0,0
6551754,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,70,87,13,20,13,7,13,0,7,0,0
6551895,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,45,55,23,13,0,0,0,0,0,0,0
6551896,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,54,63,17,5,0,0,0,0,0,0,0
6552428,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,51,66,56,52,52,0,1,0,0,0,51
6553014,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,43,66,30,31,30,1,12,0,1,0,18
6553015,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,56,70,20,15,15,0,4,0,0,0,11
6553130,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,49,61,6,-3,0,0,0,0,0,0,0
6553540,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,55,69,82,66,66,0,7,0,0,0,59
6553598,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,44,64,18,17,17,0,7,0,0,0,10
6554111,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,56,75,46,41,41,0,18,0,0,0,23
6554112,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,46,57,31,23,23,0,1,0,0,0,22
6554239,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,47,59,57,46,46,0,7,0,0,0,39
6554508,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,42,54,31,20,20,0,14,0,0,0,6
6554581,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,50,64,13,7,0,0,0,0,0,0,0
6554731,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,57,71,17,13,0,0,0,0,0,0,0
6555334,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,44,54,44,33,33,0,0,0,0,0,33
6555527,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,45,64,10,9,0,0,0,0,0,0,0
6555952,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,68,87,26,28,26,2,10,0,2,0,16
6556018,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,45,56,12,3,0,0,0,0,0,0,0
6556212,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,46,72,11,18,7,11,0,0,11,0,7
6556213,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,53,68,56,49,49,0,0,0,0,0,49
6556916,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,50,63,35,23,23,0,0,0,0,0,23
6557267,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,43,84,10,34,10,24,1,0,24,0,9
6557324,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,50,66,10,1,0,0,0,0,0,0,0
6557824,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,65,87,41,43,41,2,7,0,2,0,34
6558237,Southwest Airlines Co.,Bob Hope Airport,2021,1,2,52,69,69,63,63,0,1,0,0,0,62
